0.000000	1.000000
0.010000	1.010075
0.020000	1.020302
0.030000	1.030682
0.040000	1.041216
0.050000	1.051906
0.060000	1.062754
0.070000	1.073762
0.080000	1.084930
0.090000	1.096261
0.100000	1.107756
0.110000	1.119416
0.120000	1.131244
0.130000	1.143241
0.140000	1.155409
0.150000	1.167749
0.160000	1.180264
0.170000	1.192954
0.180000	1.205822
0.190000	1.218870
0.200000	1.232098
0.210000	1.245510
0.220000	1.259107
0.230000	1.272890
0.240000	1.286861
0.250000	1.301023
0.260000	1.315377
0.270000	1.329925
0.280000	1.344670
0.290000	1.359612
0.300000	1.374753
0.310000	1.390097
0.320000	1.405644
0.330000	1.421397
0.340000	1.437358
0.350000	1.453528
0.360000	1.469910
0.370000	1.486506
0.380000	1.503317
0.390000	1.520346
0.400000	1.537596
0.410000	1.555067
0.420000	1.572762
0.430000	1.590684
0.440000	1.608834
0.450000	1.627214
0.460000	1.645827
0.470000	1.664675
0.480000	1.683760
0.490000	1.703084
0.500000	1.722650
0.510000	1.742460
0.520000	1.762515
0.530000	1.782819
0.540000	1.803373
0.550000	1.824181
0.560000	1.845243
0.570000	1.866563
0.580000	1.888143
0.590000	1.909985
0.600000	1.932092
0.610000	1.954465
0.620000	1.977109
0.630000	2.000023
0.640000	2.023213
0.650000	2.046678
0.660000	2.070424
0.670000	2.094450
0.680000	2.118761
0.690000	2.143359
0.700000	2.168246
0.710000	2.193424
0.720000	2.218897
0.730000	2.244667
0.740000	2.270736
0.750000	2.297107
0.760000	2.323783
0.770000	2.350766
0.780000	2.378059
0.790000	2.405665
0.800000	2.433586
0.810000	2.461826
0.820000	2.490385
0.830000	2.519269
0.840000	2.548478
0.850000	2.578016
0.860000	2.607886
0.870000	2.638091
0.880000	2.668633
0.890000	2.699515
0.900000	2.730739
0.910000	2.762310
0.920000	2.794229
0.930000	2.826499
0.940000	2.859124
0.950000	2.892107
0.960000	2.925449
0.970000	2.959154
0.980000	2.993226
0.990000	3.027667
1.000000	3.062479
